Publication number,Family ID,Owner,title,Patenting date,Patent status,Impact score,Google link
AU-2016214370-A1,52464214,Empa Eidgenossische Mat Und Forschungsanstalt,Method for producing an aerogel material,2/4/2015,Granted,0.589124728,https://patents.google.com/patent/AU2016214370A1
CA-2756474-A1,45002653,Wacker Chemie Ag,Method for the determination of impurities in silicon,11/10/2010,Granted,0.530692683,https://patents.google.com/patent/CA2756474A1
CA-2779221-A1,46506174,Wacker Chemie Ag,Protective device for electrode holders in cvd reactors,7/6/2011,Granted,0.471213031,https://patents.google.com/patent/CA2779221A1
CA-2795297-A1,44146360,Schmid Silicon Tech Gmbh,Fabrication d'un materiau semi-conducteur cristallin,4/13/2010,Abandoned,0.227891962,https://patents.google.com/patent/CA2795297A1
CA-2797030-A1,44061222,Sued Chemie Ip Gmbh And Co Kg,Carbon-containing composite material containing an oxygen-containing lithium transition metal compound,4/23/2010,Abandoned,0.365605257,https://patents.google.com/patent/CA2797030A1
CA-2949634-A1,62188844,Medmira Inc,Analyte detection using raman spectroscopy,11/25/2016,Pending,0.52270571,https://patents.google.com/patent/CA2949634A1
CA-2968292-A1,55072623,Wacker Chemie Ag,Reactor for the deposition of polycrystalline silicon,1/7/2015,Granted,0.582297847,https://patents.google.com/patent/CA2968292A1
CA-2974255-A1,55755568,Wacker Chemie Ag,Apparatus and method for classifying and dedusting granular polysilicon,4/16/2015,Granted,0.494942726,https://patents.google.com/patent/CA2974255A1
CA-2979782-A1,56978369,Sekisui Chemical Co Ltd,Method and apparatus for producing organic substances,3/20/2015,Pending,0.445731887,https://patents.google.com/patent/CA2979782A1
CA-2986448-A1,56411935,Albemarle Corp,"Halogenated graphene nanoplatelets, and production and uses thereof",6/30/2015,Pending,0.433740044,https://patents.google.com/patent/CA2986448A1
CA-2993153-A1,57884735,Mitsubishi Heavy Industries Environmental And Chemical Engineering Co D,Carbide producing method and carbide producing device,7/30/2015,Pending,0.482076211,https://patents.google.com/patent/CA2993153A1
EP-2360524-A2,44168875,Canon Inc,"Imprint apparatus, template of imprint apparatus, and article manufacturing method",2/24/2010,Withdrawn,0.797338419,https://patents.google.com/patent/EP2360524A2
EP-2371472-A2,44117334,Dowa Electronics Materials Co Ltd,Low temperature sinterable metal nanoparticle composition and electronic article formed using the composition,3/26/2010,Withdrawn,0.613013255,https://patents.google.com/patent/EP2371472A2
EP-2374755-A1,44247940,Ge Investment Co Ltd,Method for fabricating silicon carbide material,4/7/2010,Withdrawn,0.300947757,https://patents.google.com/patent/EP2374755A1
EP-2402074-A1,43244959,Ammonia Casale Sa,A process for selective removal of reaction products from a gaseous system,6/30/2010,Withdrawn,0.418424871,https://patents.google.com/patent/EP2402074A1
EP-2442364-A1,43073727,Fudan University,Gate stack structure for semiconductor flash memory device and preparation method thereof,6/3/2010,Withdrawn,0.664989937,https://patents.google.com/patent/EP2442364A1
EP-2466377-A1,43736950,Consiglio Nazionale Delle Richerche Cnr,"Method for the creation of complex structures on a micrometric or nanometric scale, and the complex structure thus obtained",12/15/2010,Withdrawn,0.392772654,https://patents.google.com/patent/EP2466377A1
EP-2477038-A1,44021787,Centre National De La Recherche Scientifique Cnrs,Near-field optical probe manufacturing using organo-mineral material and sol-gel process,1/14/2011,Withdrawn,0.320702371,https://patents.google.com/patent/EP2477038A1
EP-2521905-A1,42028401,Vivacta Ltd,Procédé de détection d'un produit chimique,1/4/2010,Withdrawn,0.227733201,https://patents.google.com/patent/EP2521905A1
EP-2525226-A1,46208302,Samsung Electronics Co Ltd,Kits for detecting target material and methods of detecting target material using the kits,5/17/2011,Withdrawn,0.498368191,https://patents.google.com/patent/EP2525226A1
EP-2526050-A1,42028478,University Of Manchester,Graphene polymer composite,1/18/2010,Granted,0.972731647,https://patents.google.com/patent/EP2526050A1
EP-2526054-A1,43795110,Evonik Degussa Gmbh,Process for coarse decarburization of a silicon melt,1/21/2010,Withdrawn,0.204883104,https://patents.google.com/patent/EP2526054A1
EP-2528858-A1,44319627,Hewlett Packard Development Co Lp,Environment sensitive devices,1/29/2010,Withdrawn,0.321539557,https://patents.google.com/patent/EP2528858A1
EP-2530053-A1,44319134,Sakai Chemical Industry Co Ltd,"Particules de silice, procédé pour la production de celles-ci, et composition de résine contenant celles-ci",1/26/2010,Withdrawn,0.670173782,https://patents.google.com/patent/EP2530053A1
EP-2530131-A1,46950455,Nisshin Oillio Group Ltd,Heat conducting member and adsorbent using burned plant material,1/26/2010,Withdrawn,0.381607946,https://patents.google.com/patent/EP2530131A1
EP-2532508-A1,44355366,Asahi Glass Co Ltd,Verfahren zur herstellung eines artikels mit einer fein gefurchten oberflächenstruktur,2/3/2010,Withdrawn,0.359832418,https://patents.google.com/patent/EP2532508A1
EP-2533318-A1,46354458,Nederlandse Organisatie Voor Toegepastnatuurwetenschappelijk Onderzoek Tno,Thin film solar cell module and greenhouse provided with the same,6/8/2011,Withdrawn,0.440382176,https://patents.google.com/patent/EP2533318A1
EP-2535903-A2,44368286,Vryus Co Ltd,"Graphenfaser, herstellungsverfahren dafür und verwendung davon",2/9/2010,Granted,0.978034168,https://patents.google.com/patent/EP2535903A2
EP-2537805-A1,43446756,Nanobiomatters Industries Sl,Method for obtaining laminar phyllosilicate particles having controlled size and products obtained using said method,2/16/2010,Withdrawn,0.795646993,https://patents.google.com/patent/EP2537805A1
EP-2540862-A1,44506928,National Institute Of Advanced Industrial Science And Technology Aist,Carbon film laminate,2/26/2010,Granted,0.992081015,https://patents.google.com/patent/EP2540862A1
EP-2544996-A2,44954023,Unist Academy Industry Research Corp,"Method for manufacturing graphene, transparent electrode and active layer comprising the same, and display, electronic device, optoelectronic device, battery, solar cell, and dye-sensitized solar cell including the electrode and the active layer",3/9/2010,Withdrawn,0.992464455,https://patents.google.com/patent/EP2544996A2
EP-2546196-A1,44563565,Mitsubishi Chemical Corp,Verfahren und vorrichtung zur herstellung von silicium,3/11/2010,Withdrawn,0.334325073,https://patents.google.com/patent/EP2546196A1
EP-2547624-A2,44647472,Gtat Corp,System and method for polycrystalline silicon deposition,3/19/2010,Withdrawn,0.617729846,https://patents.google.com/patent/EP2547624A2
EP-2548995-A1,44649280,National Institute Of Advanced Industrial Science And Technology Aist,"Manufacturing method for transparent conductive carbon film, and transparent conductive carbon film",3/17/2010,Granted,0.985370429,https://patents.google.com/patent/EP2548995A1
EP-2549559-A1,44648413,Oceans King Lighting Science And Technology Co Ltd,Organische solarzelle und herstellungsverfahren dafür,3/15/2010,Withdrawn,0.748473356,https://patents.google.com/patent/EP2549559A1
EP-2550513-A1,44673572,Cabot Security Materials Inc,Wavelength selective sers nanotags,3/22/2010,Granted,0.604356184,https://patents.google.com/patent/EP2550513A1
EP-2554513-A1,44673004,Taiko Pharmaceutical Co Ltd,Device for generating chlorine dioxide,3/26/2010,Granted,0.923970465,https://patents.google.com/patent/EP2554513A1
EP-2555221-A1,44503631,Fei Co,Procédé pour étudier un échantillon dans un etem,8/3/2011,Granted,0.549757629,https://patents.google.com/patent/EP2555221A1
EP-2556018-A1,42236115,Ucl Business Ltd,Separation method,4/9/2010,Granted,0.3941736,https://patents.google.com/patent/EP2556018A1
EP-2557373-A1,46799283,Universita Del Salento,Heat transfer medium with nanofluids for a thermodynamic solar system,8/11/2011,Withdrawn,0.486282141,https://patents.google.com/patent/EP2557373A1
EP-2559654-A2,44799142,Seoul National University R And Db Foundation,Verfahren zur massenproduktion von silbernanopartikeln mit gleicher grösse,4/12/2010,Withdrawn,0.360219511,https://patents.google.com/patent/EP2559654A2
EP-2562835-A1,45846869,Furukawa Electric Co Ltd,"Clathrate compound, thermoelectric material, and method for producing thermoelectric material",7/8/2010,Granted,0.766656665,https://patents.google.com/patent/EP2562835A1
EP-2564454-A1,44246143,Flexel Llc,A thin flexible electrochemical energy cell,4/28/2010,Withdrawn,0.705463606,https://patents.google.com/patent/EP2564454A1
EP-2570383-A1,44913833,Oceans King Lighting Science And Technology Co Ltd,Method for preparing quantum dots of lead selenide,5/11/2010,Granted,0.604426438,https://patents.google.com/patent/EP2570383A1
EP-2571072-A1,44677705,Lanxess Deutschland Gmbh,Semiconducting thin [60]fullerene films and their use,9/13/2011,Withdrawn,0.254283728,https://patents.google.com/patent/EP2571072A1
EP-2575158-A1,47369727,Cetc 38 Research Institute,Particle source and manufacturing method therefor,6/22/2011,Granted,0.318247587,https://patents.google.com/patent/EP2575158A1
EP-2577759-A1,45066244,Indian Institute Of Science,Energy harvesting devices using carbon nanotube (cnt)-based electrodes,6/2/2010,Withdrawn,0.419083126,https://patents.google.com/patent/EP2577759A1
